frame_number,bottom_left_x,bottom_left_y,box_angle,r_encode,l_encode
14544,-1,-1,-1.0,36.68654781540603,-0.1023777443993623
14545,-1,-1,-1.0,36.68654781540603,-0.1023777443993623
14546,-1,-1,-1.0,37.154314179570406,0.3504157606872837
14547,-1,-1,-1.0,37.154314179570406,0.3504157606872837
14548,-1,-1,-1.0,37.154314179570406,0.3504157606872837
14549,-1,-1,-1.0,31.058620946213843,-0.3378004683195001
14550,-1,-1,-1.0,31.058620946213843,-0.3378004683195001
14551,-1,-1,-1.0,31.058620946213843,-0.3378004683195001
14552,-1,-1,-1.0,35.563153803190275,-0.4404240926790521
14553,-1,-1,-1.0,35.563153803190275,-0.4404240926790521
14554,-1,-1,-1.0,35.563153803190275,-0.4404240926790521
14555,-1,-1,-1.0,35.563153803190275,-0.4404240926790521
14556,-1,-1,-1.0,35.24939127562198,-0.2309548037738977
14557,-1,-1,-1.0,35.24939127562198,-0.2309548037738977
14558,545,121,40.91438322002513,35.24939127562198,-0.2309548037738977
14559,-1,-1,-1.0,35.24939127562198,-0.2309548037738977
14560,-1,-1,-1.0,34.23864281644139,-0.3609033454131634
14561,-1,-1,-1.0,34.23864281644139,-0.3609033454131634
14562,-1,-1,-1.0,34.23864281644139,-0.3609033454131634
14563,-1,-1,-1.0,32.570953193589595,-0.2077013301500585
14564,-1,-1,-1.0,32.570953193589595,-0.2077013301500585
14565,97,153,25.866356794094518,32.570953193589595,-0.2077013301500585
14566,97,153,25.866356794094518,32.3384348598591,-0.2967579589751778
14567,-1,-1,-1.0,32.3384348598591,-0.2967579589751778
14568,-1,-1,-1.0,32.3384348598591,-0.2967579589751778
14569,-1,-1,-1.0,32.3384348598591,-0.2967579589751778
14570,-1,-1,-1.0,33.144775547486034,-0.0287582725224808
14571,-1,-1,-1.0,33.144775547486034,-0.0287582725224808
14572,-1,-1,-1.0,33.144775547486034,-0.0287582725224808
14573,-1,-1,-1.0,30.72438807681271,0.6694284694365535
